franchise,movie_title,movie_id,movie_revenue,total_franchise_revenue,percent_franchise_rev
Peter Pan,Peter Pan,10693,87404651.0,708714979.0,12.33283528497286
Peter Pan,Return to Never Land,16690,109862682.0,708714979.0,15.501673487276472
Planet of the Apes,Planet of the Apes,871,33395426.0,2115119208.0,1.5788909614970505
Planet of the Apes,Beneath the Planet of the Apes,1685,18999718.0,2115119208.0,0.8982811903999313
Planet of the Apes,Battle for the Planet of the Apes,1705,8844595.0,2115119208.0,0.41816059192064226
Planet of the Apes,Conquest of the Planet of the Apes,1688,9700000.0,2115119208.0,0.4586029933117604
Planet of the Apes,Escape from the Planet of the Apes,1687,12348905.0,2115119208.0,0.58383966980645
Planet of the Apes,Rise of the Planet of the Apes,61791,482860185.0,2115119208.0,22.828982081656743
Planet of the Apes,Dawn of the Planet of the Apes,119450,710644566.0,2115119208.0,33.59832218024091
Planet of the Apes,War for the Planet of the Apes,281338,369907963.0,2115119208.0,17.48875248264494
The Lion King,The Lion King,8587,788241776.0,2643158262.0,29.82196667268651
Despicable Me,Despicable Me,20352,543513985.0,3713037258.0,14.637988989444178
Despicable Me,Despicable Me 2,93456,970761885.0,3713037258.0,26.144684729689295
Despicable Me,Minions,211672,1156730962.0,3713037258.0,31.153227980886584
Despicable Me,Despicable Me 3,324852,1020063384.0,3713037258.0,27.472479081706
Lady and the Tramp,Lady and the Tramp,10340,93600000.0,93600000.0,100.0
Exorcist,The Exorcist,9552,441306145.0,522446253.0,84.46919514991717
Exorcist,Exorcist II: The Heretic,11586,30749142.0,522446253.0,5.885608677147504
Exorcist,The Exorcist III,11587,39024251.0,522446253.0,7.469524525425202
Exorcist,Exorcist: The Beginning,11026,78000586.0,522446253.0,14.92987758111072
Exorcist,Dominion: Prequel to the Exorcist,12700,251495.0,522446253.0,0.04813796606940159
Billy Jack,The Born Losers,44695,36000000.0,223000000.0,16.143497757847534
Iron Man,Iron Man,1726,585174222.0,2421720208.0,24.163576785910852
Iron Man,Iron Man 2,10138,623933331.0,2421720208.0,25.76405519262199
Iron Man,Iron Man 3,68721,1215439994.0,2421720208.0,50.18911722274401
King Kong,King Kong,244,10000000.0,1216915731.0,0.8217495875234109
King Kong,King Kong,10730,90614445.0,1216915731.0,7.44623828024128
King Kong,King Kong Lives,31947,4711220.0,1216915731.0,0.38714430917320436
Alien,Aliens,679,183316455.0,1648542927.0,11.11990788942313
Alien,Alien,348,104931801.0,1648542927.0,6.365123969865542
Alien,Alien??,8077,159773545.0,1648542927.0,9.691803736694569
Alien,Alien: Resurrection,8078,162000000.0,1648542927.0,9.82685966781622
Alien,Alien Nation,10128,32155047.0,1648542927.0,1.9505131758088576
Terminator,Terminator 2: Judgment Day,280,520000000.0,2074603836.0,25.06502643910083
Terminator,The Terminator,218,78371200.0,2074603836.0,3.7776465385847287
Terminator,Terminator 3: Rise of the Machines,296,435000000.0,2074603836.0,20.96785865578627
Terminator,Terminator Salvation,534,371353001.0,2074603836.0,17.899947669816225
Terminator,Terminator Genisys,87101,440603537.0,2074603836.0,21.237960200127578
Finding Nemo,Finding Nemo,12,940335536.0,1965000259.0,47.85421944313342
Finding Nemo,Finding Dory,127380,1028570889.0,1965000259.0,52.34456760445648
Beverly Hills Cop,Beverly Hills Cop III,306,119208989.0,712145974.0,16.739403626818792
Beverly Hills Cop,Beverly Hills Cop II,96,299965036.0,712145974.0,42.12128509484489
Beverly Hills Cop,Beverly Hills Cop,90,316360478.0,712145974.0,44.423543704538304
Home Alone,Home Alone,771,476684675.0,866371962.0,55.02078736476932
Home Alone,Home Alone 3,9714,79082515.0,866371962.0,9.128009500381316
Home Alone,Home Alone 2: Lost in New York,772,358991681.0,866371962.0,41.43620716571619
Lethal Weapon,Lethal Weapon 4,944,285444603.0,952592350.0,29.965032051748054
Lethal Weapon,Lethal Weapon,941,120207127.0,952592350.0,12.618947338806574
Lethal Weapon,Lethal Weapon 2,942,227853986.0,952592350.0,23.919359209634635
Lethal Weapon,Lethal Weapon 3,943,321731527.0,952592350.0,33.77431353506041
