Franchise,Movie Title,Movie Revenue,Total Franchise Revenue,% of Total Franchise Revenue
Hellraiser,Hellraiser: Bloodline,16675000.0,48034060.0,34.71495018326579
Hellraiser,Hellraiser,14564027.0,48034060.0,30.320208202263142
Hellraiser,Hellbound: Hellraiser II,12090735.0,48034060.0,25.171170207140513
Hellraiser,Hellraiser III: Hell on Earth,12534961.0,48034060.0,26.09598480744705
Agent Cody Banks,Agent Cody Banks,58795814.0,86943541.0,67.62528110052477
Agent Cody Banks,Agent Cody Banks 2: Destination London,28818995.0,86943541.0,33.146792353442336
Zoolander,Zoolander,60780981.0,116129674.0,52.3388888528181
Zoolander,Zoolander 2,55969000.0,116129674.0,48.195261445408
Missing in Action,Missing in Action,22812411.0,39567858.0,57.65389422899769
Missing in Action,Missing in Action 2: The Beginning,10755447.0,39567858.0,27.182282649720385
Missing in Action,Braddock: Missing in Action III,6193901.0,39567858.0,15.65386986578854
Nanny McPhee,Nanny McPhee,122489822.0,226545443.0,54.06854376673558
Nanny McPhee,Nanny McPhee and the Big Bang,93246388.0,226545443.0,41.16012521161152
Universal Soldier,Universal Soldier: The Return,10667893.0,48562507.0,21.967344066483225
Universal Soldier,Universal Soldier: Regeneration,875386.0,48562507.0,1.8025963939629395
Universal Soldier,Universal Soldier: Day of Reckoning,1402307.0,48562507.0,2.887633045798068
Weekend at Bernie's,Weekend at Bernie's,30218387.0,42960278.0,70.34029668057549
F/X,F/X,20603715.0,41679546.0,49.433635865419454
Mannequin,Mannequin,42721196.0,41318609.0,103.39456490415735
Mannequin,Mannequin Two: On the Move,3752426.0,41318609.0,9.081685203875086
Highlander,Highlander III: The Sorcerer,36800000.0,53623898.0,68.62611889945039
Highlander,Highlander,5900000.0,53623898.0,11.002557106161884
Highlander,Highlander: Endgame,15843608.0,53623898.0,29.545796913159876
Highlander,Highlander II: The Quickening,15556340.0,53623898.0,29.010088002181416
God's Not Dead,God's Not Dead,29789000.0,94683139.0,31.46177906078927
God's Not Dead,God's Not Dead 2,23507567.0,94683139.0,24.827616879072842
Creepshow,Creepshow,21028755.0,34036244.0,61.78341828786984
Creepshow,Creepshow 2,14000000.0,34036244.0,41.13262321189141
White Fang,White Fang,34793160.0,43481490.0,80.01832503899935
Behind Enemy Lines,Behind Enemy Lines,91753202.0,58855732.0,155.89509956311477
Ouija,Ouija,103590271.0,185132498.0,55.9546660468007
Ouija,Ouija: Origin of Evil,81705746.0,185132498.0,44.13365934272653
The Woman in Black,The Woman in Black,127730736.0,173962590.0,73.42425518038102
The Woman in Black,The Woman in Black 2: Angel of Death,26501323.0,173962590.0,15.23392069524833
Gods Must Be Crazy,The Gods Must Be Crazy,60000000.0,43923227.0,136.60198509549403
Hostel,Hostel,80578934.0,115847519.0,69.55602907646214
Hostel,Hostel: Part II,35619521.0,115847519.0,30.746900155885083
Jarhead,Jarhead,96889998.0,96947540.0,99.94064625053922
Best Exotic Marigold Hotel,The Best Exotic Marigold Hotel,136836156.0,225024086.0,60.809559737529604
Best Exotic Marigold Hotel,The Second Best Exotic Marigold Hotel,85978266.0,225024086.0,38.208472492140245
Kick-Ass,Kick-Ass,96188903.0,160661043.0,59.87070742469909
Kick-Ass,Kick-Ass 2,60700000.0,160661043.0,37.78140541512606
Hills Have Eyes,The Hills Have Eyes,25000000.0,107822351.0,23.18628722907368
Hills Have Eyes,The Hills Have Eyes,69623713.0,107822351.0,64.57261630290365
Silent Hill,Silent Hill,97607453.0,150679899.0,64.7780185995479
Silent Hill,Silent Hill: Revelation 3D,52302796.0,150679899.0,34.71119661422125
